rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,4.223841102917989,7.216137728,1.5576941967010498,4.747860980375087
16,32,3686400,4.494795707861583,6.617750016,1.5160831212997437,4.55435137131404
64,128,14745600,4.047366813818614,7.998511616,1.476814866065979,4.378975820309134
base,-,0,0.0,0.0,1.884005320072174,6.579806384604566
16(all),32,29933568,4.87594571908315,10.548580864,1.4948303699493408,4.458580179516097
